6_investors,Country/Town,"Deals Information, Level of Completeness",Disclosed ,Founded,Total  Disclosed Funding,DA Classification_African Company (Yes = 0; No = 1),Year,Month,Quarter,Half,Number of Investors,main_sector_encoded,funding_round_encoded,cat_Country
Oikocredit International,Rwanda,0.9,1.0,2012.0,1200000.0,0.0,2018.0,5.0,2.0,1.0,1.0,18,11,20
"CRE Venture Capital, Draper Dark Flow, Identity Partners",South Africa,0.9,0.0,2014.0,2700000.0,0.0,2018.0,5.0,2.0,1.0,3.0,8,3,23
"Sanari Capital, ASISA ESD Fund, 4Di Capital",South Africa,0.9,1.0,2015.0,1030000.0,0.0,2018.0,5.0,2.0,1.0,3.0,19,6,23
Iowa AgriTech Accelerator,Nigeria,0.9,1.0,2016.0,40000.0,0.0,2018.0,5.0,2.0,1.0,1.0,14,1,19
Co-Creation Hub Nigeria,Nigeria,0.9,1.0,2017.0,60000.0,0.0,2018.0,5.0,2.0,1.0,1.0,7,1,19
Co-Creation Hub Nigeria,Sierra Leone,0.9,1.0,2014.0,25000.0,0.0,2018.0,5.0,2.0,1.0,1.0,19,1,22
Genesys Tech Hub,Nigeria,0.9,1.0,2017.0,20000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,19
"The Rise fund, Satya Capital, Endeavor Catalyst, Velocity Capital, Progression Africa.",Kenya,0.9,1.0,2004.0,54500000.0,0.0,2018.0,5.0,2.0,1.0,5.0,1,8,10
Positrust LLC,Kenya,0.9,1.0,2018.0,25000.0,0.0,2018.0,5.0,2.0,1.0,1.0,6,1,10
Undisclosed,Mauritius,0.9,1.0,2010.0,1700000.0,0.0,2018.0,5.0,2.0,1.0,1.0,15,3,15
Expo Live,Kenya,0.9,1.0,2015.0,100000.0,0.0,2018.0,5.0,2.0,1.0,1.0,14,2,10
Flat6Labs,Egypt,0.9,1.0,2016.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,4,1,5
Flat6Labs,Egypt,0.9,1.0,2018.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,5
Flat6Labs,Egypt,1.0,1.0,2017.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,1,1,5
Flat6Labs,Egypt,0.9,1.0,2017.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,8,1,5
Flat6Labs,Egypt,0.9,1.0,2017.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,12,1,5
Flat6Labs,Egypt,0.9,1.0,2018.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,12,1,5
Flat6Labs,Egypt,0.9,1.0,2018.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,5
Flat6Labs,Egypt,0.9,1.0,2017.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,5
Flat6Labs,Egypt,0.9,1.0,2018.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,10,1,5
Flat6Labs,Egypt,0.9,1.0,2017.0,28000.0,0.0,2018.0,5.0,2.0,1.0,1.0,10,1,5
DHD Holding,Mozambique,0.9,0.0,2015.0,0.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,17
"Clipperton, Soeximex, Pole Innovation Metiers",Ivory Coast,0.9,1.0,2018.0,1138350.0,0.0,2018.0,5.0,2.0,1.0,3.0,21,1,9
"Omidyar Network, Tekton Ventures, Newid capital, Bamboo Capital Partners, Alitheia Capital, Accion Venture Lab",Nigeria,0.9,1.0,2016.0,8186000.0,0.0,2018.0,5.0,2.0,1.0,6.0,1,3,19
CFAO Automotive,Mali,0.9,1.0,2018.0,700000.0,0.0,2018.0,5.0,2.0,1.0,1.0,10,1,14
"Mohamed ben Saleh Ba Wazier, Salem ben Saleh Ba Wazier",Egypt,0.9,1.0,2013.0,300000.0,0.0,2018.0,5.0,2.0,1.0,2.0,6,1,5
Connecticut's Global Venture Challenge,Nigeria,0.9,1.0,2015.0,150000.0,0.0,2018.0,5.0,2.0,1.0,1.0,1,2,19
Bill & Melinda Gates Foundation,Ghana,0.9,1.0,2016.0,100000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,2,8
HIMAngel,Egypt,0.9,0.0,2016.0,0.0,0.0,2018.0,5.0,2.0,1.0,1.0,14,1,5
HAVAIC,South Africa,0.9,1.0,2017.0,160000.0,0.0,2018.0,5.0,2.0,1.0,1.0,6,1,23
Helhjärtad Finans AB,Egypt,0.9,1.0,2016.0,1200000.0,0.0,2018.0,5.0,2.0,1.0,1.0,5,1,5
Diamond Bank,Nigeria,0.9,1.0,2016.0,13900.0,0.0,2018.0,5.0,2.0,1.0,1.0,19,2,19
"LeadPath Nigeria, Village Capital, Ventures Platform",Nigeria,0.9,1.0,2016.0,1150000.0,0.0,2018.0,5.0,2.0,1.0,3.0,1,1,19
Outlierz Ventures,Morocco,0.9,0.0,2014.0,3120000.0,0.0,2018.0,6.0,2.0,1.0,1.0,5,1,16
Outlierz Ventures,Egypt,0.9,0.0,2018.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,5,1,5
Katapult Accelerator,United States of America,0.9,1.0,2016.0,672000.0,1.0,2018.0,6.0,2.0,1.0,1.0,19,1,28
Undisclosed,Kenya,0.9,1.0,2017.0,995000.0,0.0,2018.0,6.0,2.0,1.0,1.0,5,1,10
Undisclosed,Senegal,0.9,1.0,2015.0,120000.0,0.0,2018.0,6.0,2.0,1.0,1.0,5,12,21
Undisclosed,Nigeria,0.9,1.0,2018.0,10000.0,0.0,2018.0,6.0,2.0,1.0,1.0,8,2,19
White Rhino Ventures,Kenya,0.9,0.0,2017.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,10
Pangea Accelerator,Kenya,0.9,1.0,2017.0,100000.0,0.0,2018.0,6.0,2.0,1.0,1.0,20,1,10
Pangea Accelerator,Kenya,0.9,1.0,2016.0,100000.0,0.0,2018.0,6.0,2.0,1.0,1.0,4,1,10
Pangea Accelerator,Kenya,0.9,1.0,2016.0,100000.0,0.0,2018.0,6.0,2.0,1.0,1.0,4,1,10
Pangea Accelerator,Kenya,0.9,1.0,2017.0,50000.0,0.0,2018.0,6.0,2.0,1.0,1.0,8,1,10
Techstars,Nigeria,0.9,1.0,2016.0,1280000.0,0.0,2018.0,6.0,2.0,1.0,1.0,12,1,19
Undisclosed,Kenya,0.9,1.0,2016.0,3000000.0,0.0,2018.0,6.0,2.0,1.0,1.0,10,3,10
Ground Squirrel Ventures,Zambia,0.9,0.0,2016.0,266000.0,0.0,2018.0,6.0,2.0,1.0,1.0,10,1,29
"Lireas Holdings, 4Di Capital, Accion Venture Lab",South Africa,0.9,0.0,2014.0,0.0,0.0,2018.0,6.0,2.0,1.0,3.0,6,1,23
SunFunder,Kenya,0.9,1.0,2011.0,1200000.0,0.0,2018.0,6.0,2.0,1.0,1.0,7,5,10
Microtraction,Nigeria,0.9,1.0,2017.0,185000.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,19
Royal Academy of Engineering,Uganda,0.9,1.0,2013.0,33000.0,0.0,2018.0,6.0,2.0,1.0,1.0,12,2,26
Undisclosed,South Africa,0.9,0.0,2016.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,7,3,23
Arzan Venture Capital,Egypt,0.9,0.0,2016.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,6,1,5
"Oxfam’s Enterprise Development Programme, Novastar Ventures",Ethiopia,0.9,1.0,2014.0,1000000.0,0.0,2018.0,6.0,2.0,1.0,2.0,14,3,6
MEST Africa,Nigeria,0.9,1.0,2015.0,75000.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,19
Villgro Kenya,Uganda,0.9,0.0,2016.0,20000.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,26
Undisclosed,Morocco,0.9,0.0,2017.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,10,1,16
Villgro Kenya,Uganda,0.9,0.0,2017.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,12,1,26
Microtraction,Nigeria,0.9,1.0,2017.0,1235000.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,19
The Noella Tinubu Foundation,Nigeria,0.9,1.0,2016.0,13903.0,0.0,2018.0,6.0,2.0,1.0,1.0,10,2,19
"Western Technology Investment,Africa Future Limited",Nigeria,0.9,1.0,2017.0,37320000.0,0.0,2018.0,6.0,2.0,1.0,2.0,10,1,19
Ground Squirrel Ventures,Zambia,0.9,0.0,2016.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,1,1,29
Ground Squirrel Ventures,Zambia,0.9,0.0,2017.0,0.0,0.0,2018.0,6.0,2.0,1.0,1.0,6,1,29
Y Combinator,Nigeria,0.9,1.0,2017.0,37320000.0,0.0,2018.0,6.0,2.0,1.0,1.0,10,12,19
TDB,Uganda,0.9,1.0,2017.0,25000.0,0.0,2018.0,6.0,2.0,1.0,1.0,22,2,26
Pangea Accelerator,Kenya,0.9,1.0,2015.0,20000.0,0.0,2018.0,6.0,2.0,1.0,1.0,6,1,10
Undisclosed,South Africa,0.9,1.0,2018.0,58000.0,0.0,2018.0,7.0,3.0,2.0,1.0,2,1,23
Undisclosed,Nigeria,0.9,1.0,2018.0,5000.0,0.0,2018.0,7.0,3.0,2.0,1.0,22,1,19
"TLcom Capital Partners, International Finance Corporation",Kenya,0.9,1.0,2013.0,40350000.0,0.0,2018.0,7.0,3.0,2.0,2.0,5,13,10
"Anders Holch Povlsen, Omidyar Network, ",South Africa,0.9,1.0,2008.0,55800000.0,0.0,2018.0,7.0,3.0,2.0,3.0,3,6,23
GreenTec Capital Partners,Kenya,0.9,0.0,2017.0,0.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,10
Undisclosed,Nigeria,0.9,1.0,2018.0,560000.0,0.0,2018.0,7.0,3.0,2.0,1.0,10,12,19
Undisclosed,Kenya,0.9,1.0,2017.0,450000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,10
Undisclosed,Egypt,0.9,1.0,2015.0,100000.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,1,5
Danish International Development Agency,Ethiopia,0.9,1.0,2016.0,1100000.0,0.0,2018.0,7.0,3.0,2.0,1.0,14,2,6
"FMO, Rabobank Foundation",Kenya,0.9,1.0,2015.0,1600000.0,0.0,2018.0,7.0,3.0,2.0,2.0,14,5,10
Gray Matters Capital,Ghana,0.9,1.0,2017.0,250000.0,0.0,2018.0,7.0,3.0,2.0,1.0,12,3,8
Injini,Nigeria,0.9,1.0,2015.0,165000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,19
Injini,Kenya,0.9,1.0,2012.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,10
Injini,Ethiopia,0.9,1.0,2017.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,6
Injini,South Africa,0.9,1.0,2015.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,23
"Nedbank, AgFunder",South Africa,0.9,1.0,2014.0,4667000.0,0.0,2018.0,7.0,3.0,2.0,2.0,19,3,23
Injini,Nigeria,0.9,1.0,2018.0,50000.0,0.0,2018.0,7.0,3.0,2.0,1.0,5,1,19
Injini,South Africa,0.9,1.0,0.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,23
Startupbootcamp,Nigeria,0.9,1.0,2017.0,192000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,19
Startupbootcamp,Ghana,0.9,1.0,2016.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,1,8
Startupbootcamp,South Africa,0.9,1.0,2017.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,23
Startupbootcamp,Nigeria,0.9,1.0,2017.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,19
Startupbootcamp,South Africa,0.9,1.0,2017.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,1,23
Startupbootcamp,Ivory Coast,0.9,1.0,2016.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,9
Startupbootcamp,Nigeria,0.9,1.0,2017.0,1617000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,19
Startupbootcamp,Kenya,0.9,1.0,2016.0,117000.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,1,10
Startupbootcamp,South Africa,0.9,1.0,2017.0,17000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,23
Undisclosed,Angola,0.9,1.0,2015.0,520000.0,0.0,2018.0,7.0,3.0,2.0,1.0,5,1,1
Goonery Investment Group,South Africa,0.9,1.0,2016.0,91400.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,4,23
"Beta. Ventures, Collins Onuegbu, Sam Senbanjo",Nigeria,0.9,0.0,2017.0,0.0,0.0,2018.0,7.0,3.0,2.0,3.0,6,1,19
Techstars,Uganda,0.9,1.0,2015.0,1510000.0,0.0,2018.0,7.0,3.0,2.0,1.0,12,1,26
Damien Guermonprez,Ivory Coast,0.9,1.0,2018.0,128900.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,12,9
Aeternity Ventures,Kenya,0.9,1.0,2017.0,250000.0,0.0,2018.0,7.0,3.0,2.0,1.0,19,1,10
Department for International Development (DFID),Rwanda,0.9,1.0,2014.0,905400.0,0.0,2018.0,7.0,3.0,2.0,1.0,11,2,20
"EDF, Energy Access Ventures, Partners Group",Kenya,0.9,0.0,2012.0,0.0,0.0,2018.0,7.0,3.0,2.0,3.0,14,17,10
AHL Venture Partners,Kenya,0.9,1.0,2016.0,657000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,1,10
"4DX Ventures, Village Global, Lynett Capital, Golden, Palm Investments, Outlierz Ventures",Kenya,0.9,1.0,2015.0,4500000.0,0.0,2018.0,7.0,3.0,2.0,6.0,10,1,10
VISA Everywhere Initiative,Kenya,0.9,1.0,2015.0,50000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,2,10
Visa Everywhere Initiative,Nigeria,0.9,1.0,2017.0,192000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,2,19
Undisclosed,South Africa,0.9,1.0,2016.0,177000.0,0.0,2018.0,7.0,3.0,2.0,1.0,10,1,23
Undisclosed,Algeria,0.9,1.0,2017.0,1700000.0,0.0,2018.0,7.0,3.0,2.0,1.0,10,1,0
OPIC - Overseas Private Investment Corporation,Uganda,0.9,1.0,2012.0,11080000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,5,26
Injini,Nigeria,0.9,1.0,2016.0,140000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,19
Injini,Nigeria,0.9,1.0,2016.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,3,1,19
Injini,Nigeria,0.9,1.0,2018.0,40000.0,0.0,2018.0,7.0,3.0,2.0,1.0,6,1,19
Visa Everywhere Initiative,Nigeria,0.9,1.0,2017.0,25000.0,0.0,2018.0,7.0,3.0,2.0,1.0,1,2,19
"All On, Co-Creation Hub Nigeria",Nigeria,0.9,1.0,2018.0,10000.0,0.0,2018.0,7.0,3.0,2.0,2.0,18,12,19
Undisclosed,Angola,0.9,0.0,2015.0,520000.0,0.0,2018.0,8.0,3.0,2.0,1.0,5,3,1
"EDF, Energy Access Ventures, Partners Group",Kenya,0.9,0.0,2012.0,0.0,0.0,2018.0,8.0,3.0,2.0,3.0,14,17,10
Cairo Angels,Egypt,0.9,1.0,2012.0,510000.0,0.0,2018.0,8.0,3.0,2.0,1.0,5,1,5
Undisclosed,Kenya,0.9,1.0,2018.0,200000.0,0.0,2018.0,8.0,3.0,2.0,1.0,5,1,10
Undisclosed,Egypt,0.9,1.0,2016.0,255000.0,0.0,2018.0,8.0,3.0,2.0,1.0,15,12,5
Undisclosed,Uganda,0.9,1.0,2017.0,10000.0,0.0,2018.0,8.0,3.0,2.0,1.0,5,1,26
Co-Creation Hub Nigeria,Nigeria,0.9,1.0,2017.0,5000.0,0.0,2018.0,8.0,3.0,2.0,1.0,7,1,19
Co-Creation Hub Nigeria,Nigeria,0.9,1.0,2016.0,5000.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,1,19
Undisclosed,Nigeria,0.9,1.0,2010.0,556.0,0.0,2018.0,8.0,3.0,2.0,1.0,7,1,19
"Proparco, Investisseurs & Partenaires (I&P)",South Africa,0.9,1.0,2013.0,4700000.0,0.0,2018.0,8.0,3.0,2.0,2.0,3,3,23
Startupbootcamp,Kenya,0.9,1.0,2016.0,17500.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,12,10
Undisclosed,Cameroon,0.9,0.0,2016.0,0.0,0.0,2018.0,8.0,3.0,2.0,1.0,12,3,4
Undisclosed ,Uganda,0.9,1.0,2012.0,200000.0,0.0,2018.0,8.0,3.0,2.0,1.0,12,1,26
Airband Grant Fund,Kenya,0.9,0.0,2016.0,0.0,0.0,2018.0,8.0,3.0,2.0,1.0,14,2,10
Consonance Investment Managers ,Kenya,0.9,1.0,2016.0,550000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,10
"Seedstars, Zahra Nasser, GSMA, Patrick Munis",Tanzania,0.9,1.0,2016.0,1250000.0,0.0,2018.0,8.0,3.0,2.0,4.0,1,3,24
500 Startups,Egypt,0.9,0.0,2018.0,0.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,5,5
"The Rise Fund, Velocity Capital Private Equity, First Ally Capital, Nyca Partners, Singularity Investments, Trans Sahara Investment Corporation, Western Technology Investment, X/Seed Capital Partners",Nigeria,0.9,1.0,2014.0,17138000.0,0.0,2018.0,8.0,3.0,2.0,8.0,1,3,19
Undisclosed,Nigeria,0.9,1.0,2018.0,1000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,19
Leapfrog Ventures,Rwanda,0.9,1.0,2014.0,50000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,20
Startupbootcamp,South Africa,0.9,1.0,2016.0,91400.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,1,23
SAB Foundation,South Africa,0.9,1.0,2017.0,65000.0,0.0,2018.0,8.0,3.0,2.0,1.0,14,2,23
 Flat6Labs Cairo,Egypt,0.9,1.0,2017.0,20000.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,1,5
Undisclosed,Egypt,0.9,1.0,2017.0,5500.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,1,5
Microtraction,Nigeria,0.9,1.0,2016.0,165000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,19
Microtraction,Nigeria,0.9,1.0,2017.0,15000.0,0.0,2018.0,8.0,3.0,2.0,1.0,3,1,19
Y Combinator,Nigeria,0.9,1.0,2017.0,1235000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,19
Y Combinator,Nigeria,0.9,1.0,2017.0,185000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,19
Y Combinator,South Africa,0.9,1.0,2016.0,3220000.0,0.0,2018.0,8.0,3.0,2.0,1.0,6,1,23
FinLab,Uganda,0.9,0.0,2015.0,0.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,26
FMO,Kenya,0.9,1.0,2014.0,450000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,2,10
"Microtraction, Ventures Platform",Nigeria,0.9,1.0,2018.0,210000.0,0.0,2018.0,8.0,3.0,2.0,2.0,1,1,19
Undisclosed,Nigeria,0.9,0.0,2017.0,0.0,0.0,2018.0,8.0,3.0,2.0,1.0,11,6,19
Rise Capital,Nigeria,0.9,1.0,2014.0,620000.0,0.0,2018.0,8.0,3.0,2.0,1.0,3,3,19
Leapfrog Ventures Japan,Kenya,0.9,1.0,2017.0,100000.0,0.0,2018.0,8.0,3.0,2.0,1.0,20,1,10
Google Launchpad Accelerator,Nigeria,0.9,1.0,2018.0,210000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,12,19
"Stripe, Y Combinator, Tencent Holdings, Visa",Nigeria,0.9,1.0,2015.0,11625000.0,0.0,2018.0,8.0,3.0,2.0,4.0,1,3,19
Overseas Private Investment Corporation,Kenya,0.9,1.0,2013.0,40350000.0,0.0,2018.0,8.0,3.0,2.0,1.0,5,5,10
Consonance Investment Managers ,United Kingdom,0.8,1.0,2005.0,1200000.0,1.0,2018.0,8.0,3.0,2.0,1.0,14,3,27
Leapfrog Ventures Japan,Uganda,0.9,1.0,2014.0,100000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,12,26
Leapfrog Ventures Japan,Uganda,0.9,1.0,2017.0,40000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,26
"Massachusetts Institute of Technology Legatum Centre,  Mastercard Foundation",Kenya,0.9,1.0,2016.0,657000.0,0.0,2018.0,8.0,3.0,2.0,2.0,1,2,10
"Massachusetts Institute of Technology Legatum Centre, Mastercard Foundation",Nigeria,0.9,1.0,2015.0,30000.0,0.0,2018.0,8.0,3.0,2.0,2.0,18,2,19
Undisclosed,Uganda,0.9,1.0,2015.0,1510000.0,0.0,2018.0,8.0,3.0,2.0,1.0,12,1,26
MEST Africa,Ghana,0.9,1.0,2018.0,100000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,8
Undisclosed,Nigeria,0.9,1.0,2018.0,15000.0,0.0,2018.0,8.0,3.0,2.0,1.0,1,1,19
Undisclosed,Egypt,0.9,0.0,2013.0,18000.0,0.0,2018.0,9.0,3.0,2.0,1.0,10,1,5
Undisclosed,Nigeria,0.9,1.0,2018.0,50000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,12,19
Falak Startups,Egypt,0.9,1.0,2018.0,28000.0,0.0,2018.0,9.0,3.0,2.0,1.0,12,1,5
FbStart,Nigeria,0.9,1.0,2018.0,5000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,12,19
Ground Squirrel Ventures,Zambia,0.9,0.0,2015.0,0.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,29
"Leapfrog Ventures, Monex Ventures, ANRI",Kenya,0.9,1.0,2015.0,720000.0,0.0,2018.0,9.0,3.0,2.0,3.0,6,1,10
"Wamda Capital, KISP Ventures, Raed Ventures",Egypt,0.9,0.0,2011.0,0.0,0.0,2018.0,9.0,3.0,2.0,3.0,5,3,5
CFC Stanbic,Kenya,0.9,1.0,2017.0,238000.0,0.0,2018.0,9.0,3.0,2.0,1.0,10,5,10
Ventures Platform,Nigeria,0.9,1.0,2016.0,1280000.0,0.0,2018.0,9.0,3.0,2.0,1.0,12,1,19
"Cairo Angels, Alex Angels",Egypt,0.9,0.0,2012.0,0.0,0.0,2018.0,9.0,3.0,2.0,2.0,7,1,5
"4DX Ventures, Y Combinator, Western Technology Investment, Social Capital, Lynett Capital, Golden Palm Investments",Nigeria,0.9,1.0,2014.0,5100000.0,0.0,2018.0,9.0,3.0,2.0,6.0,6,3,19
Ecobank Fintech Challenge,Tanzania,0.9,1.0,2017.0,420000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,24
HIMangel,Egypt,0.9,0.0,2018.0,0.0,0.0,2018.0,9.0,3.0,2.0,1.0,14,4,5
"Partech Partners, Orange Digital Ventures, Dutch Development Bank, Futuregrowth Asset Management, Quona Capital, Velocity Capital Private Equity",South Africa,0.9,1.0,2013.0,20100000.0,0.0,2018.0,9.0,3.0,2.0,6.0,1,6,23
"Global Innovation Fund, Unreasonable Capital, Goodwell Investments, Adlevo Capital, Omidyar Network",Nigeria,0.9,1.0,2009.0,32700000.0,0.0,2018.0,9.0,3.0,2.0,5.0,1,6,19
Undisclosed,Nigeria,0.9,1.0,2018.0,2000.0,0.0,2018.0,9.0,3.0,2.0,1.0,4,12,19
Tachyon by Consensys Ventures,Egypt,0.9,1.0,2017.0,325000.0,0.0,2018.0,9.0,3.0,2.0,1.0,19,1,5
LGT group,Kenya,0.9,1.0,2012.0,22000000.0,0.0,2018.0,9.0,3.0,2.0,1.0,5,9,10
Undisclosed,Egypt,0.9,1.0,2018.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,10,1,5
Compagnie d’Assurance et de Réassurance Tuniso-Européenne (Carte),Tunisia,0.9,1.0,2016.0,167000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,25
Katapult Accelerator,Kenya,0.9,1.0,2009.0,150000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,10
Katapult Accelerator,Tunisia,0.9,1.0,2017.0,150000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,1,25
Katapult Accelerator,Egypt,0.9,1.0,2016.0,150000.0,0.0,2018.0,9.0,3.0,2.0,1.0,3,1,5
Snap,South Africa,0.9,1.0,2017.0,150000.0,0.0,2018.0,9.0,3.0,2.0,1.0,4,1,23
Axa Insurance Morocco,Morocco,0.9,0.0,2014.0,0.0,0.0,2018.0,9.0,3.0,2.0,1.0,12,1,16
MEST Africa,Ghana,0.9,1.0,2018.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,1,8
MEST Africa,Ghana,0.9,1.0,2018.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,8
MEST Africa,Ghana,0.9,1.0,2017.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,2,1,8
MEST Africa,Nigeria,0.9,1.0,2018.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,8,1,19
MEST Africa,Ghana,0.9,1.0,2018.0,100000.0,0.0,2018.0,9.0,3.0,2.0,1.0,10,1,8
MEST Africa,Ghana,0.9,1.0,2018.0,102700.0,0.0,2018.0,9.0,3.0,2.0,1.0,10,1,8
Wennovation Hub,Nigeria,0.9,1.0,2018.0,3700.0,0.0,2018.0,9.0,3.0,2.0,1.0,14,12,19
Wennovation Hub,Nigeria,0.9,1.0,2017.0,2790.0,0.0,2018.0,9.0,3.0,2.0,1.0,14,12,19
Techstars,South Africa,0.9,1.0,2018.0,18000.0,0.0,2018.0,9.0,3.0,2.0,1.0,19,1,23
"Blue Garnet Investments, Investec, Crossfin",South Africa,0.9,0.0,2016.0,0.0,0.0,2018.0,9.0,3.0,2.0,3.0,19,3,23
"HIMangel, EdVentures",Egypt,0.9,0.0,2015.0,0.0,0.0,2018.0,9.0,3.0,2.0,2.0,3,1,5
Undisclosed,Ethiopia,0.9,1.0,2015.0,65000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,6
Capsa Capital Partners,Tunisia,0.9,1.0,2014.0,1600000.0,0.0,2018.0,9.0,3.0,2.0,1.0,23,3,25
"Goldman Sachs, Proparco, Finnfund, Vostok Emerging Finance, Gemcorp Capital, LeapFrog Investments.",South Africa,0.9,1.0,2014.0,91700000.0,0.0,2018.0,9.0,3.0,2.0,6.0,1,6,23
"STV, Silicon Badia, BECO Capital, Vostock New Ventures, Crescent Enterprise Venture Capital",Egypt,0.9,1.0,2012.0,23500000.0,0.0,2018.0,9.0,3.0,2.0,5.0,12,8,5
Farfetch,Nigeria,0.9,1.0,2014.0,35000.0,0.0,2018.0,9.0,3.0,2.0,1.0,5,1,19
VFlock,Egypt,0.9,1.0,2018.0,48000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,1,5
SPHINX Capital,Nigeria,0.9,1.0,2018.0,250000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,12,19
Benson Ajabor,Nigeria,0.9,1.0,2018.0,4200.0,0.0,2018.0,9.0,3.0,2.0,1.0,4,1,19
Undisclosed,Rwanda,0.9,1.0,2017.0,550000.0,0.0,2018.0,9.0,3.0,2.0,1.0,1,1,20
Consonance Investment Managers ,Nigeria,0.9,1.0,2005.0,500000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,1,19
"Cairo Angels, 500 Startups",Egypt,0.9,1.0,2016.0,417000.0,0.0,2018.0,9.0,3.0,2.0,2.0,10,1,5
